prolongamento,Index_complex,tipo
44543,0.117768226742459,FAAH
38324,0.216566499039208,FAAH
46894,0.518532208053553,FAAH
26608,0.176375905404569,FAAH
39286,0.17577207116482,FAAH
41811,0.386566704323714,FAAH
45071,0.168738472888233,FAAH
48757,0.179175084175084,FAAH
29907,0.108318425760286,FAAH
45051,0.165722222222222,FAAH
49650,0.197017725449605,FAAH
60338,0.309199152784933,FAAH
65191,0.358381559781111,FAAH
44569,0.0680230856091338,FAAH
61542,0.130652201551045,FAAH
59419,0.265625193113421,FAAH
40198,0.484687271655108,FAAH
75955,0.608295643832932,FAAH
44507,0.424081262939959,FAAH
62947,0.567225850807838,FAAH
56786,0.466998310493711,FAAH
37298,0.529855167458687,FAAH
57786,0.564812025545246,FAAH
39940,0.31783634220909,cortico
41298,0.395759872415761,cortico
38332,0.263426913395208,cortico
40865,0.211921934662707,cortico
27822,0.175204553539666,cortico
22956,0.241048699044533,cortico
34399,0.26308911739503,cortico
31578,0.365355628353799,cortico
32933,0.359417245336601,cortico
36580,0.380986225335906,cortico
59995,0.455881952821034,cortico
55429,0.358512620505283,cortico
31731,0.180141074335323,cortico
88357,0.40596342611268,cortico
96375,0.52315570728811,cortico
89762,0.438348621557021,cortico
67705,0.130169456685124,cortico
54541,0.232541123165464,cortico
60728,0.231223019761245,cortico
51239,0.405910861701141,cortico
48982,0.224857970280578,cortico
43737,0.261885072989621,cortico
66930,0.0422837518780854,cortico
54873,0.46833125018167,cortico
58991,0.381120238357515,cortico
36527,0.0535084991708126,cortico
34038,0.108532816510398,cortico
29509,0.153572555431259,cortico
33177,0.105041676782391,cortico
25036,0.13986326313258,cortico
29453,0.0974473692274691,cortico
49841,0.102949910908731,cortico
34074,0.087930619127921,cortico
39592,0.0629334216941611,cortico
27414,0.0854378648874061,cortico
25889,0.0822107203630176,cortico
36020,0.135132539377641,cortico
23112,0.088787257530358,cortico
31308,0.0930212346823488,cortico
45952,0.0437026554565887,cortico
59515,0.676952722140802,cortico
30718,0.323868638844867,cortico
36250,0.294801960936892,cortico
40626,0.334501851063133,cortico
44143,0.28928853182206,cortico
42074,0.527857888299126,cortico
34536,0.246695458709593,cortico
47476,0.274278114920742,cortico
30172,0.236364556705728,cortico
32041,0.241507468693038,cortico
62956,0.241557940896551,cortico
54690,0.374578306364,cortico
69917,0.552785933132488,cortico
72846,0.590601009363022,cortico
90009,0.602475885948486,cortico
72777,0.493911809906608,cortico
72920,0.433868513400205,cortico
71458,0.421921642545687,cortico
73879,0.393295612255792,cortico
49693,0.546414619007631,cortico
48168,0.35271114694618,cortico
28498,0.455906218378296,cortico
60219,0.567578629900905,cortico
48642,0.402652585042368,cortico
76117,0.357233936548416,cortico
47267,0.223208269651104,cortico_CB1_NEG
30143,0.135089380505581,cortico_CB1_NEG
24715,0.220199406827791,cortico_CB1_NEG
26378,0.199842261724201,cortico_CB1_NEG
36916,0.557590211281953,cortico_CB1_NEG
33801,0.187612661331026,cortico_CB1_NEG
46255,0.377330551255301,cortico_CB1_NEG
23199,0.278031929791803,cortico_CB1_NEG
30163,0.0775558885592832,cortico_CB1_NEG
46780,0.252357359757072,cortico_CB1_NEG
18835,0.0907993821201004,cortico_CB1_NEG
23253,0.090756236803003,cortico_CB1_NEG
14032,0.0975045021867764,cortico_CB1_NEG
26080,0.159658450136942,cortico_CB1_NEG
27994,0.0719092928422239,cortico_CB1_NEG
25593,0.338904244052386,cortico_CB1_NEG
20136,0.146851961698161,cortico_CB1_NEG
14442,0.100242975515544,cortico_CB1_NEG
33253,0.0943678849610545,cortico_CB1_NEG
42100,0.542649806631035,cortico_CB1_NEG
30140,0.0909090909090909,cortico_CB1_NEG
16343,0.0672868394018947,cortico_CB1_NEG
36893,0.360296157580802,cortico_CB1_NEG
24454,0.0972053014361133,cortico_CB1_NEG
36770,0.180320559976816,cortico_CB1_NEG
35226,0.0707992614085993,cortico_CB1_NEG
22516,0.151300414624953,cortico_CB1_NEG
41742,0.0810989301281204,cortico_CB1_NEG
39641,0.245996119755012,cortico_CB1_NEG
33990,0.145979899497487,cortico_CB1_NEG
45421,0.111986549101644,cortico_CB1_NEG
40617,0.178458737864078,cortico_CB1_NEG
55919,0.085708212749955,cortico_CB1_NEG
72293,0.33240063534279,cortico_CB1_NEG
53772,0.430423591470971,cortico_CB1_NEG
56144,0.152926976463488,cortico_CB1_NEG
40246,0.159510483668866,cortico_CB1_NEG
54028,0.253602265662775,cortico_CB1_NEG
44605,0.431551715348932,cortico_CB1_NEG
59867,0.521848169002835,cortico_CB1_NEG
55676,0.158794911310549,cortico_CB1_NEG
56178,0.452119722636707,cortico_CB1_NEG
58721,0.398572247941333,cortico_CB1_NEG
28378,0.283166616146307,cortico_CB1_NEG
32233,0.441194826809057,cortico_CB1_NEG
46632,0.320084566596195,cortico_CB1_NEG
33527,0.356104399930861,cortico_CB1_NEG
54066,0.494147696971398,cortico_CB1_NEG
39125,0.184844886138717,cortico_CB1_NEG
55840,0.594957276116696,cortico_CB1_NEG
59013,0.461663367420476,cortico_CB1_NEG
51722,0.519289929829453,cortico_CB1_NEG
38424,0.415061882506965,cortico_CB1_NEG
52438,0.281011339174311,cortico_CB1_NEG
51050,0.380859398687737,cortico_CB1_NEG
42274,0.516829917821997,cortico_CB1_NEG
53595,0.576129767007798,cortico_CB1_NEG
40587,0.402640409749205,cortico_CB1_NEG
41800,0.375811967088267,cortico_CB1_NEG
30465,0.348843671183687,cortico_CB1_POS
11615,0.530270554454645,cortico_CB1_POS
40370,0.380429110776881,cortico_CB1_POS
